Intensity Sum,Unit,Category,Channel,Image,Time,TrackID,ID
19500,,Spot,1,Image 1,104,1000000000,163
20053,,Spot,1,Image 1,104,1000000001,164
21986,,Spot,1,Image 1,104,1000000002,165
16123,,Spot,1,Image 1,105,1000000001,166
25074,,Spot,1,Image 1,105,1000000002,167
20710,,Spot,1,Image 1,106,1000000001,168
19740,,Spot,1,Image 1,106,1000000002,169
19402,,Spot,1,Image 1,106,1000000000,170
22782,,Spot,1,Image 1,107,1000000002,171
24258,,Spot,1,Image 1,107,1000000000,172
22429,,Spot,1,Image 1,107,1000000001,173
19254,,Spot,1,Image 1,108,1000000000,174
24480,,Spot,1,Image 1,108,1000000002,175
28700,,Spot,1,Image 1,108,1000000001,176
14386,,Spot,1,Image 1,109,1000000000,177
24065,,Spot,1,Image 1,109,1000000001,178
20814,,Spot,1,Image 1,109,1000000002,179
16054,,Spot,1,Image 1,110,1000000000,180
17550,,Spot,1,Image 1,110,1000000001,181
14926,,Spot,1,Image 1,111,1000000000,182
18977,,Spot,1,Image 1,111,1000000001,183
15220,,Spot,1,Image 1,112,1000000000,184
23976,,Spot,1,Image 1,112,1000000001,185
20541,,Spot,1,Image 1,112,1000000002,186
13789,,Spot,1,Image 1,113,1000000000,187
20864,,Spot,1,Image 1,113,1000000001,188
18626,,Spot,1,Image 1,113,1000000002,189
18075,,Spot,1,Image 1,114,1000000000,190
29833,,Spot,1,Image 1,114,1000000001,191
18192,,Spot,1,Image 1,114,1000000002,192
15216,,Spot,1,Image 1,115,1000000000,193
27696,,Spot,1,Image 1,115,1000000001,194
19150,,Spot,1,Image 1,115,1000000002,195
13646,,Spot,1,Image 1,116,1000000000,196
26386,,Spot,1,Image 1,116,1000000001,197
19360,,Spot,1,Image 1,116,1000000002,198
16119,,Spot,1,Image 1,117,1000000000,199
25534,,Spot,1,Image 1,117,1000000001,200
17647,,Spot,1,Image 1,117,1000000002,201
17430,,Spot,1,Image 1,118,1000000000,202
31653,,Spot,1,Image 1,118,1000000001,203
14260,,Spot,1,Image 1,119,1000000000,204
21967,,Spot,1,Image 1,119,1000000001,205
20176,,Spot,1,Image 1,119,1000000002,206
16568,,Spot,1,Image 1,120,1000000000,207
23282,,Spot,1,Image 1,120,1000000001,208
16280,,Spot,1,Image 1,120,1000000002,209
21494,,Spot,1,Image 1,121,1000000000,210
23863,,Spot,1,Image 1,121,1000000001,211
17014,,Spot,1,Image 1,121,1000000002,212
23850,,Spot,1,Image 1,122,1000000000,213
23112,,Spot,1,Image 1,122,1000000001,214
17756,,Spot,1,Image 1,122,1000000003,215
20513,,Spot,1,Image 1,122,1000000002,216
24078,,Spot,1,Image 1,123,1000000000,217
22520,,Spot,1,Image 1,123,1000000001,218
22429,,Spot,1,Image 1,123,1000000003,219
18092,,Spot,1,Image 1,123,1000000002,220
21647,,Spot,1,Image 1,124,1000000001,221
23878,,Spot,1,Image 1,124,1000000000,222
18546,,Spot,1,Image 1,124,1000000003,223
19340,,Spot,1,Image 1,124,1000000002,224
24698,,Spot,1,Image 1,125,1000000001,225
